slot,usdt_usd,binance_open,binance_close,brti_proxy,offset_hat,offset_real,strike_naive,strike_offsetaware,kalshi_result,poly_up_wins,naive_outcome,offsetaware_outcome
2026-06-06 20:00,0.99961,60884.62,60782.01,60765.73,23.75,16.28,60899.99,60899.99,no,False,split,split
2026-06-06 21:00,0.9996,60782.0,61479.75,61469.13,24.31,10.62,60799.99,60799.99,yes,True,split,split
2026-06-06 22:00,0.99948,61479.75,61506.74,61480.47,31.97,26.27,61499.99,61499.99,no,True,both_win,both_win
2026-06-06 23:00,0.9996,61506.73,61701.07,61685.9,24.6,15.17,61499.99,61599.99,yes,True,split,split
2026-06-07 00:00,0.99948,61701.06,61890.92,61874.21,32.08,16.71,61699.99,61799.99,yes,True,split,split
2026-06-07 01:00,0.99958,61890.92,61748.1,61739.34,25.99,8.76,61899.99,61899.99,no,False,split,split
2026-06-07 02:00,0.99953,61748.11,62101.0,62123.38,29.02,-22.38,61699.99,61799.99,yes,True,split,split
2026-06-07 03:00,0.9996,62101.01,62404.73,62377.64,24.84,27.09,62099.99,62199.99,yes,True,split,split
2026-06-07 04:00,0.99959,62404.72,62855.01,62816.58,25.59,38.43,62399.99,62499.99,yes,True,split,split
2026-06-07 05:00,0.99959,62855.0,62530.0,62509.6,25.77,20.4,62899.99,62899.99,no,False,split,split
2026-06-07 06:00,0.99964,62530.0,62370.52,62353.89,22.51,16.63,62499.99,62599.99,no,False,split,split
2026-06-07 07:00,0.99966,62370.53,62621.96,62613.86,21.21,8.1,62399.99,62399.99,yes,True,split,split
2026-06-07 08:00,0.99967,62621.97,61900.67,61887.7,20.67,12.97,62599.99,62699.99,no,False,split,split
2026-06-07 09:00,0.99968,61900.66,61700.13,61706.91,19.81,-6.78,61899.99,61999.99,no,False,split,split
2026-06-07 10:00,0.99962,61700.14,61905.49,61881.47,23.45,24.02,61699.99,61799.99,yes,True,split,split
2026-06-07 11:00,0.99963,61905.49,62093.99,62059.92,22.91,34.07,61899.99,61999.99,yes,True,split,split
2026-06-07 12:00,0.99965,62093.99,62083.64,62045.78,21.73,37.86,62099.99,62099.99,no,False,split,split
2026-06-07 13:00,0.99957,62083.64,62160.01,62138.44,26.7,21.57,62099.99,62099.99,yes,True,split,split
2026-06-07 14:00,0.99972,62160.01,62030.14,62023.57,17.4,6.57,62199.99,62199.99,no,False,split,split
2026-06-07 15:00,0.99957,62030.15,61328.0,61286.62,26.67,41.38,61999.99,62099.99,no,False,split,split
2026-06-07 16:00,0.99962,61327.99,61878.01,61879.71,23.3,-1.7,61249.99,61499.99,yes,True,split,split
2026-06-07 17:00,0.99959,61878.0,61778.41,61748.49,25.37,29.92,61899.99,61899.99,no,False,split,split
2026-06-07 19:00,0.99961,62865.87,63332.01,63292.96,24.52,39.05,62899.99,62899.99,yes,True,split,split
2026-06-07 20:00,0.99961,63332.01,63631.42,63624.6,24.7,6.82,63299.99,63399.99,yes,True,split,split
2026-06-07 21:00,0.99965,63631.43,63211.41,63152.4,22.27,59.01,63599.99,63699.99,no,False,split,split
2026-06-07 22:00,0.99948,63211.41,63129.93,63106.54,32.87,23.39,63199.99,63299.99,no,False,split,split
